,area_title,fips_county,qualifying_area,criteria
291,"Richland Parish, Louisiana",22083,msa_or_county,fossil_employment
292,"Wharton County, Texas",48481,msa_or_county,fossil_employment
293,"Chicago-Naperville-Elgin, IL-IN-WI MSA",17031,msa_or_county,fossil_employment
294,"Chicago-Naperville-Elgin, IL-IN-WI MSA",17037,msa_or_county,fossil_employment
295,"Chicago-Naperville-Elgin, IL-IN-WI MSA",17043,msa_or_county,fossil_employment
296,"Chicago-Naperville-Elgin, IL-IN-WI MSA",17063,msa_or_county,fossil_employment
297,"Chicago-Naperville-Elgin, IL-IN-WI MSA",17089,msa_or_county,fossil_employment
298,"Chicago-Naperville-Elgin, IL-IN-WI MSA",17093,msa_or_county,fossil_employment
299,"Chicago-Naperville-Elgin, IL-IN-WI MSA",17097,msa_or_county,fossil_employment
300,"Chicago-Naperville-Elgin, IL-IN-WI MSA",17111,msa_or_county,fossil_employment
301,"Chicago-Naperville-Elgin, IL-IN-WI MSA",17197,msa_or_county,fossil_employment
302,"Chicago-Naperville-Elgin, IL-IN-WI MSA",18073,msa_or_county,fossil_employment
303,"Chicago-Naperville-Elgin, IL-IN-WI MSA",18089,msa_or_county,fossil_employment
304,"Chicago-Naperville-Elgin, IL-IN-WI MSA",18111,msa_or_county,fossil_employment
305,"Chicago-Naperville-Elgin, IL-IN-WI MSA",18127,msa_or_county,fossil_employment
306,"Chicago-Naperville-Elgin, IL-IN-WI MSA",55059,msa_or_county,fossil_employment
307,"Leflore County, Mississippi",28083,msa_or_county,fossil_employment
308,"Jefferson County, Illinois",17081,msa_or_county,fossil_employment
309,"Latimer County, Oklahoma",40077,msa_or_county,fossil_employment
310,"Guernsey County, Ohio",39059,msa_or_county,fossil_employment
311,"Floyd County, Kentucky",21071,msa_or_county,fossil_employment
312,"Harlan County, Kentucky",21095,msa_or_county,fossil_employment
313,"Coeur d'Alene, ID MSA",16055,msa_or_county,fossil_employment
314,"Dawson County, Texas",48115,msa_or_county,fossil_employment
315,"Ponce, PR MSA",72055,msa_or_county,fossil_employment
316,"Ponce, PR MSA",72059,msa_or_county,fossil_employment
317,"Ponce, PR MSA",72075,msa_or_county,fossil_employment
318,"Ponce, PR MSA",72111,msa_or_county,fossil_employment
319,"Ponce, PR MSA",72113,msa_or_county,fossil_employment
320,"Ponce, PR MSA",72149,msa_or_county,fossil_employment
321,"Ponce, PR MSA",72153,msa_or_county,fossil_employment
322,"Coahoma County, Mississippi",28027,msa_or_county,fossil_employment
323,"Albany-Schenectady-Troy, NY MSA",36001,msa_or_county,fossil_employment
324,"Albany-Schenectady-Troy, NY MSA",36083,msa_or_county,fossil_employment
325,"Albany-Schenectady-Troy, NY MSA",36091,msa_or_county,fossil_employment
326,"Albany-Schenectady-Troy, NY MSA",36093,msa_or_county,fossil_employment
327,"Albany-Schenectady-Troy, NY MSA",36095,msa_or_county,fossil_employment
328,"Clallam County, Washington",53009,msa_or_county,fossil_employment
329,"Morristown, TN MSA",47063,msa_or_county,fossil_employment
330,"Morristown, TN MSA",47089,msa_or_county,fossil_employment
331,"Kingsport-Bristol-Bristol, TN-VA MSA",47073,msa_or_county,fossil_employment
332,"Kingsport-Bristol-Bristol, TN-VA MSA",47163,msa_or_county,fossil_employment
333,"Kingsport-Bristol-Bristol, TN-VA MSA",51169,msa_or_county,fossil_employment
334,"Kingsport-Bristol-Bristol, TN-VA MSA",51191,msa_or_county,fossil_employment
335,"Kingsport-Bristol-Bristol, TN-VA MSA",51520,msa_or_county,fossil_employment
336,"Okanogan County, Washington",53047,msa_or_county,fossil_employment
337,"Lincoln County, Nebraska",31111,msa_or_county,fossil_employment
338,"Clearwater County, Minnesota",27029,msa_or_county,fossil_employment
339,"Cooke County, Texas",48097,msa_or_county,fossil_employment
340,"Jack County, Texas",48237,msa_or_county,fossil_employment
341,"Sabine Parish, Louisiana",22085,msa_or_county,fossil_employment
342,"Fisher County, Texas",48151,msa_or_county,fossil_employment
343,"Henderson County, Texas",48213,msa_or_county,fossil_employment
344,"Ottawa County, Ohio",39123,msa_or_county,fossil_employment
345,"Saline County, Illinois",17165,msa_or_county,fossil_employment
346,"Grand Forks, ND-MN MSA",27119,msa_or_county,fossil_employment
347,"Grand Forks, ND-MN MSA",38035,msa_or_county,fossil_employment
348,"Cincinnati, OH-KY-IN MSA",18029,msa_or_county,fossil_employment
349,"Cincinnati, OH-KY-IN MSA",18115,msa_or_county,fossil_employment
350,"Cincinnati, OH-KY-IN MSA",18161,msa_or_county,fossil_employment
351,"Cincinnati, OH-KY-IN MSA",21015,msa_or_county,fossil_employment
352,"Cincinnati, OH-KY-IN MSA",21023,msa_or_county,fossil_employment
353,"Cincinnati, OH-KY-IN MSA",21037,msa_or_county,fossil_employment
354,"Cincinnati, OH-KY-IN MSA",21077,msa_or_county,fossil_employment
355,"Cincinnati, OH-KY-IN MSA",21081,msa_or_county,fossil_employment
356,"Cincinnati, OH-KY-IN MSA",21117,msa_or_county,fossil_employment
357,"Cincinnati, OH-KY-IN MSA",21191,msa_or_county,fossil_employment
358,"Cincinnati, OH-KY-IN MSA",39015,msa_or_county,fossil_employment
359,"Cincinnati, OH-KY-IN MSA",39017,msa_or_county,fossil_employment
360,"Cincinnati, OH-KY-IN MSA",39025,msa_or_county,fossil_employment
361,"Cincinnati, OH-KY-IN MSA",39061,msa_or_county,fossil_employment
362,"Cincinnati, OH-KY-IN MSA",39165,msa_or_county,fossil_employment
363,"Stephens County, Oklahoma",40137,msa_or_county,fossil_employment
364,"Forest County, Pennsylvania",42053,msa_or_county,fossil_employment
365,"Malheur County, Oregon",41045,msa_or_county,fossil_employment
366,"Charlotte-Concord-Gastonia, NC-SC MSA",37025,msa_or_county,fossil_employment
367,"Charlotte-Concord-Gastonia, NC-SC MSA",37071,msa_or_county,fossil_employment
368,"Charlotte-Concord-Gastonia, NC-SC MSA",37097,msa_or_county,fossil_employment
369,"Charlotte-Concord-Gastonia, NC-SC MSA",37109,msa_or_county,fossil_employment
370,"Charlotte-Concord-Gastonia, NC-SC MSA",37119,msa_or_county,fossil_employment
371,"Charlotte-Concord-Gastonia, NC-SC MSA",37159,msa_or_county,fossil_employment
372,"Charlotte-Concord-Gastonia, NC-SC MSA",37179,msa_or_county,fossil_employment
373,"Charlotte-Concord-Gastonia, NC-SC MSA",45023,msa_or_county,fossil_employment
374,"Charlotte-Concord-Gastonia, NC-SC MSA",45057,msa_or_county,fossil_employment
375,"Charlotte-Concord-Gastonia, NC-SC MSA",45091,msa_or_county,fossil_employment
376,"Lewis County, West Virginia",54041,msa_or_county,fossil_employment
377,"Tyler, TX MSA",48423,msa_or_county,fossil_employment
378,"Panola County, Texas",48365,msa_or_county,fossil_employment
379,"Lee County, Kentucky",21129,msa_or_county,fossil_employment
380,"Cerro Gordo County, Iowa",19033,msa_or_county,fossil_employment
381,"Johnson County, Wyoming",56019,msa_or_county,fossil_employment
382,"Mansfield, OH MSA",39139,msa_or_county,fossil_employment
383,"Humphreys County, Mississippi",28053,msa_or_county,fossil_employment
384,"Atlantic City-Hammonton, NJ MSA",34001,msa_or_county,fossil_employment
385,"Live Oak County, Texas",48297,msa_or_county,fossil_employment
386,"Houston County, Texas",48225,msa_or_county,fossil_employment
387,"Itasca County, Minnesota",27061,msa_or_county,fossil_employment
388,"Washita County, Oklahoma",40149,msa_or_county,fossil_employment
389,"Lawrence County, Missouri",29109,msa_or_county,fossil_employment
390,"Preble County, Ohio",39135,msa_or_county,fossil_employment
391,"Williamsport, PA MSA",42081,msa_or_county,fossil_employment
392,"Van Buren County, Arkansas",5141,msa_or_county,fossil_employment
393,"Overton County, Tennessee",47133,msa_or_county,fossil_employment
394,"Kalkaska County, Michigan",26079,msa_or_county,fossil_employment
395,"Rice County, Kansas",20159,msa_or_county,fossil_employment
396,"Faribault County, Minnesota",27043,msa_or_county,fossil_employment
397,"Kingfisher County, Oklahoma",40073,msa_or_county,fossil_employment
398,"Eddy County, New Mexico",35015,msa_or_county,fossil_employment
