,area_text,geographic_level,state_code,geoid,year,local_area_unemployment,national_unemployment_rate_prev_year
400,"Kodiak Island Borough, AK",county,02,150,2010,7.6,9.3
401,"Kodiak Island Borough, AK",county,02,150,2011,7.6,9.6
402,"Kodiak Island Borough, AK",county,02,150,2012,6.8,8.9
403,"Kodiak Island Borough, AK",county,02,150,2013,6.2,8.1
404,"Kodiak Island Borough, AK",county,02,150,2014,5.6,7.4
405,"Kusilvak Census Area, AK",county,02,158,2010,21.0,9.3
406,"Kusilvak Census Area, AK",county,02,158,2011,21.5,9.6
407,"Kusilvak Census Area, AK",county,02,158,2012,22.4,8.9
408,"Kusilvak Census Area, AK",county,02,158,2013,23.7,8.1
409,"Kusilvak Census Area, AK",county,02,158,2014,23.5,7.4
410,"Lake and Peninsula Borough, AK",county,02,164,2010,14.9,9.3
411,"Lake and Peninsula Borough, AK",county,02,164,2011,15.4,9.6
412,"Lake and Peninsula Borough, AK",county,02,164,2012,15.4,8.9
413,"Lake and Peninsula Borough, AK",county,02,164,2013,15.6,8.1
414,"Lake and Peninsula Borough, AK",county,02,164,2014,16.1,7.4
415,"Matanuska-Susitna Borough, AK",county,02,170,2010,9.8,9.3
416,"Matanuska-Susitna Borough, AK",county,02,170,2011,9.4,9.6
417,"Matanuska-Susitna Borough, AK",county,02,170,2012,8.8,8.9
418,"Matanuska-Susitna Borough, AK",county,02,170,2013,8.4,8.1
419,"Matanuska-Susitna Borough, AK",county,02,170,2014,7.9,7.4
420,"Nome Census Area, AK",county,02,180,2010,13.0,9.3
421,"Nome Census Area, AK",county,02,180,2011,12.6,9.6
422,"Nome Census Area, AK",county,02,180,2012,11.8,8.9
423,"Nome Census Area, AK",county,02,180,2013,12.4,8.1
424,"Nome Census Area, AK",county,02,180,2014,12.1,7.4
425,"North Slope Borough, AK",county,02,185,2010,8.3,9.3
426,"North Slope Borough, AK",county,02,185,2011,7.8,9.6
427,"North Slope Borough, AK",county,02,185,2012,7.9,8.9
428,"North Slope Borough, AK",county,02,185,2013,7.4,8.1
429,"North Slope Borough, AK",county,02,185,2014,5.9,7.4
430,"Northwest Arctic Borough, AK",county,02,188,2010,13.9,9.3
431,"Northwest Arctic Borough, AK",county,02,188,2011,15.8,9.6
432,"Northwest Arctic Borough, AK",county,02,188,2012,15.9,8.9
433,"Northwest Arctic Borough, AK",county,02,188,2013,16.5,8.1
434,"Northwest Arctic Borough, AK",county,02,188,2014,16.8,7.4
435,"Petersburg Borough, AK",county,02,195,2010,8.2,9.3
436,"Petersburg Borough, AK",county,02,195,2011,8.5,9.6
437,"Petersburg Borough, AK",county,02,195,2012,8.2,8.9
438,"Petersburg Borough, AK",county,02,195,2013,8.7,8.1
439,"Petersburg Borough, AK",county,02,195,2014,9.3,7.4
440,"Prince of Wales-Hyder Census Area, AK",county,02,198,2010,10.9,9.3
441,"Prince of Wales-Hyder Census Area, AK",county,02,198,2011,12.6,9.6
442,"Prince of Wales-Hyder Census Area, AK",county,02,198,2012,13.4,8.9
443,"Prince of Wales-Hyder Census Area, AK",county,02,198,2013,12.3,8.1
444,"Prince of Wales-Hyder Census Area, AK",county,02,198,2014,13.2,7.4
445,"Sitka Borough/city, AK",county,02,220,2010,6.5,9.3
446,"Sitka Borough/city, AK",county,02,220,2011,6.2,9.6
447,"Sitka Borough/city, AK",county,02,220,2012,5.7,8.9
448,"Sitka Borough/city, AK",county,02,220,2013,5.5,8.1
449,"Sitka Borough/city, AK",county,02,220,2014,5.0,7.4
450,"Skagway Municipality, AK",county,02,230,2010,15.0,9.3
451,"Skagway Municipality, AK",county,02,230,2011,16.5,9.6
452,"Skagway Municipality, AK",county,02,230,2012,14.2,8.9
