,area_title,geographic_level,State,msa_name,geoid,percent_fossil_employees,meets_fossil_threshold,local_area_unemployment,national_unemployment_rate_prev_year,meets_unemployment_criteria
1818,"Pleasants County, West Virginia",county,West Virginia,Northern West Virginia nonmetropolitan area,54073,0.9887005649717515,1,8.2,5.3,1
1820,"Pleasants County, West Virginia",county,West Virginia,Northern West Virginia nonmetropolitan area,54073,1.5920029618659755,1,6.1,4.4,1
1821,"Pleasants County, West Virginia",county,West Virginia,Northern West Virginia nonmetropolitan area,54073,3.723404255319149,1,6.9,3.9,1
1822,"Pleasants County, West Virginia",county,West Virginia,Northern West Virginia nonmetropolitan area,54073,2.657952069716776,1,10.9,3.7,1
2028,"Milam County, Texas",county,Texas,Hill Country Region of Texas nonmetropolitan area,48331,0.32321781289279944,1,11.3,9.3,1
2029,"Milam County, Texas",county,Texas,Hill Country Region of Texas nonmetropolitan area,48331,0.29117379435850776,1,10.5,9.6,1
2036,"Milam County, Texas",county,Texas,Hill Country Region of Texas nonmetropolitan area,48331,0.5451127819548872,1,5.5,4.4,1
2037,"Milam County, Texas",county,Texas,Hill Country Region of Texas nonmetropolitan area,48331,0.7471264367816092,1,5.0,3.9,1
2038,"Milam County, Texas",county,Texas,Hill Country Region of Texas nonmetropolitan area,48331,0.8182349503214494,1,7.2,3.7,1
2052,"Muhlenberg County, Kentucky",county,Kentucky,West Kentucky nonmetropolitan area,21177,13.86376021798365,1,11.1,9.3,1
2053,"Muhlenberg County, Kentucky",county,Kentucky,West Kentucky nonmetropolitan area,21177,4.911008569545155,1,10.3,9.6,1
2054,"Muhlenberg County, Kentucky",county,Kentucky,West Kentucky nonmetropolitan area,21177,5.054192812321734,1,9.9,8.9,1
2055,"Muhlenberg County, Kentucky",county,Kentucky,West Kentucky nonmetropolitan area,21177,4.528101802757158,1,9.3,8.1,1
2056,"Muhlenberg County, Kentucky",county,Kentucky,West Kentucky nonmetropolitan area,21177,4.251682512552078,1,7.6,7.4,1
2057,"Muhlenberg County, Kentucky",county,Kentucky,West Kentucky nonmetropolitan area,21177,4.015975149767029,1,7.2,6.2,1
2058,"Muhlenberg County, Kentucky",county,Kentucky,West Kentucky nonmetropolitan area,21177,3.8414156120506213,1,7.2,5.3,1
2059,"Muhlenberg County, Kentucky",county,Kentucky,West Kentucky nonmetropolitan area,21177,3.3254424529365347,1,6.8,4.9,1
2060,"Muhlenberg County, Kentucky",county,Kentucky,West Kentucky nonmetropolitan area,21177,2.701697855992068,1,6.5,4.4,1
2061,"Muhlenberg County, Kentucky",county,Kentucky,West Kentucky nonmetropolitan area,21177,2.3047689101385314,1,5.8,3.9,1
2062,"Muhlenberg County, Kentucky",county,Kentucky,West Kentucky nonmetropolitan area,21177,1.9938445068914759,1,8.4,3.7,1
2185,"Appling County, Georgia",county,Georgia,South Georgia nonmetropolitan area,13001,0.3103180760279286,1,12.2,9.6,1
2186,"Appling County, Georgia",county,Georgia,South Georgia nonmetropolitan area,13001,0.27359781121751026,1,11.0,8.9,1
2187,"Appling County, Georgia",county,Georgia,South Georgia nonmetropolitan area,13001,0.2319109461966605,1,10.7,8.1,1
2188,"Appling County, Georgia",county,Georgia,South Georgia nonmetropolitan area,13001,0.2276176024279211,1,8.9,7.4,1
2316,"Louisville-Jefferson County, KY-IN MSA",metropolitan_stat_area,Indiana,"Louisville/Jefferson County, KY-IN",31140,0.25462230478273484,1,6.5,3.7,1
2317,"Louisville-Jefferson County, KY-IN MSA",metropolitan_stat_area,Indiana,"Louisville/Jefferson County, KY-IN",31140,0.25462230478273484,1,6.5,3.7,1
2318,"Louisville-Jefferson County, KY-IN MSA",metropolitan_stat_area,Indiana,"Louisville/Jefferson County, KY-IN",31140,0.25462230478273484,1,6.5,3.7,1
